experience_years,grade,specialization,city,work_format,company_segment,education,posted_date,description,salary_rub
1,junior,frontend,spb,NA,enterprise,higher_general,2025-03-13,"Ищем junior frontend в команду. Стек: Angular, RxJS. Опыт от 0.9+ лет.",90000
5,senior,frontend,ekaterinburg,remote,enterprise,not_specified,2026-01-22,"Вакансия frontend senior: React, TypeScript. Зарплата по результатам собеседования.",345000
1,junior,data_science,samara,office,mid_product,NA,2026-01-01,"Вакансия data_science junior: TensorFlow, Pandas. Зарплата по результатам собеседования.",340000
7,senior,data_science,samara,hybrid,smb,not_specified,2025-09-26,"smb приглашает data_science. Требования: TensorFlow, Pandas, опыт 6.7+ лет.",305000
8,lead,mobile,samara,office,bigtech,not_specified,2025-08-15,"bigtech приглашает mobile. Требования: Kotlin, Android, опыт 8.2+ лет.",475000
7,senior,data_science,kazan,office,outsource,not_specified,2026-04-02,"Требуется data_science (senior). Python, PyTorch, office формат. Регион.",285000
7,senior,data_science,kazan,office,enterprise,higher_general,2025-11-03,"Требуется data_science (senior). SQL, Spark, office формат. Регион.",390000
NA,middle,devops,novosibirsk,office,NA,not_specified,2025-10-16,"Открыта позиция middle devops. Технологии: Linux, Bash. Формат: офис.",235000
2,middle,qa,nizhny_novgorod,NA,bigtech,higher_general,2025-07-10,"bigtech приглашает qa. Требования: Postman, SQL, опыт 2.1+ лет.",165000
3,middle,data_science,moscow,NA,bigtech,not_specified,2026-04-05,"Ищем middle data_science в команду. Стек: Python, PyTorch. Опыт от 3.4+ лет.",1095000
2,middle,devops,moscow,NA,smb,not_specified,2026-05-16,"Вакансия devops middle: Linux, Bash. Зарплата по результатам собеседования.",195000
8,senior,frontend,spb,office,NA,not_specified,2025-03-24,"Вакансия frontend senior: Vue.js, Nuxt. Зарплата по результатам собеседования.",295000
3,middle,data_science,rostov,office,smb,NA,2026-02-02,Открыта позиция middle data_science. Технологии: scikit-learn. Формат: офис.,670000
1,junior,frontend,moscow,office,bigtech,not_specified,2025-11-30,"Ищем junior frontend в команду. Стек: Vue.js, Nuxt. Опыт от 1.1+ лет.",140000
5,senior,backend,novosibirsk,NA,NA,not_specified,NA,"Вакансия backend senior: Node.js, Express. Зарплата по результатам собеседования.",325000
6,senior,backend,rostov,office,mid_product,not_specified,2025-07-20,"Ищем senior backend в команду. Стек: C#, .NET. Опыт от 6.0+ лет.",340000
5,senior,qa,novosibirsk,office,mid_product,not_specified,2025-01-26,"Открыта позиция senior qa. Технологии: Cypress, JS. Формат: офис.",225000
4,senior,backend,spb,remote,outsource,not_specified,2026-02-10,"Открыта позиция senior backend. Технологии: Node.js, Express. Формат: удалёнка.",1115000
2,middle,mobile,moscow,NA,mid_product,not_specified,2025-10-10,Вакансия mobile middle: React Native. Зарплата по результатам собеседования.,1490000
10,lead,backend,moscow,NA,mid_product,higher_general,2025-02-18,"Вакансия backend lead: Java, Spring. Зарплата по результатам собеседования.",525000
2,middle,data_science,spb,office,mid_product,higher_general,2026-06-13,Открыта позиция middle data_science. Технологии: scikit-learn. Формат: офис.,270000
2,middle,frontend,kazan,hybrid,mid_product,not_specified,NA,"mid_product приглашает frontend. Требования: Next.js, Tailwind, опыт 1.8+ лет.",195000
7,senior,devops,samara,office,enterprise,NA,2025-11-20,"Ищем senior devops в команду. Стек: Terraform, AWS. Опыт от 6.9+ лет.",450000
NA,middle,frontend,moscow,office,mid_product,not_specified,2025-02-10,"Требуется frontend (middle). Angular, RxJS, office формат. Москва.",305000
4,middle,qa,moscow,remote,mid_product,NA,2025-03-25,"Вакансия qa middle: Java, JUnit. Зарплата по результатам собеседования.",220000
3,middle,devops,nizhny_novgorod,remote,NA,NA,2025-08-23,"Открыта позиция middle devops. Технологии: K8s, Docker, Ansible. Формат: удалёнка.",170000
4,senior,frontend,kazan,remote,enterprise,not_specified,2026-02-24,"Открыта позиция senior frontend. Технологии: Angular, RxJS. Формат: удалёнка.",350000
NA,middle,backend,nizhny_novgorod,remote,mid_product,not_specified,2025-02-10,"Требуется backend (middle). Go, gRPC, remote формат. Регион.",205000
NA,intern,frontend,spb,office,mid_product,not_specified,2025-07-21,"Требуется frontend (intern). Next.js, Tailwind, office формат. Санкт-Петербург.",45000
3,middle,qa,moscow,remote,mid_product,not_specified,2026-03-16,"Ищем middle qa в команду. Стек: Cypress, JS. Опыт от 3.0+ лет.",205000
1,junior,backend,rostov,office,NA,not_specified,2025-12-29,"Требуется backend (junior). Go, gRPC, office формат. Регион.",100000
NA,middle,frontend,moscow,hybrid,mid_product,higher_general,2025-05-04,"Вакансия frontend middle: React, TypeScript. Зарплата по результатам собеседования.",295000
2,middle,data_science,novosibirsk,remote,smb,not_specified,2025-03-09,"Открыта позиция middle data_science. Технологии: Python, PyTorch. Формат: удалёнка.",125000
4,middle,frontend,moscow,office,enterprise,not_specified,NA,"Требуется frontend (middle). Angular, RxJS, office формат. Москва.",275000
3,middle,backend,moscow,NA,smb,not_specified,NA,"Вакансия backend middle: Python, Django. Зарплата по результатам собеседования.",255000
6,senior,backend,ekaterinburg,remote,enterprise,not_specified,2026-06-04,"Открыта позиция senior backend. Технологии: Node.js, Express. Формат: удалёнка.",300000
NA,middle,frontend,moscow,remote,smb,not_specified,2025-07-03,"Ищем middle frontend в команду. Стек: Next.js, Tailwind. Опыт от 2.8+ лет.",210000
8,senior,data_science,moscow,office,mid_product,not_specified,2025-08-16,"Вакансия data_science senior: TensorFlow, Pandas. Зарплата по результатам собеседования.",460000
8,senior,backend,moscow,NA,mid_product,NA,2025-12-31,"Ищем senior backend в команду. Стек: Go, gRPC. Опыт от 7.5+ лет.",470000
0,intern,backend,ekaterinburg,office,enterprise,not_specified,2025-01-13,"Требуется backend (intern). C#, .NET, office формат. Регион.",200000
2,middle,frontend,nizhny_novgorod,office,mid_product,NA,2025-10-13,"Вакансия frontend middle: React, TypeScript. Зарплата по результатам собеседования.",185000
4,middle,mobile,samara,NA,enterprise,higher_tech,2025-01-01,"Открыта позиция middle mobile. Технологии: Flutter, Dart. Формат: удалёнка.",315000
4,senior,backend,samara,remote,outsource,not_specified,2026-01-19,"Вакансия backend senior: Node.js, Express. Зарплата по результатам собеседования.",370000
1,junior,frontend,nizhny_novgorod,remote,smb,higher_tech,2026-06-12,"Ищем junior frontend в команду. Стек: Vue.js, Nuxt. Опыт от 1.0+ лет.",50000
5,senior,frontend,kazan,office,bigtech,higher_tech,2025-08-03,"Вакансия frontend senior: Vue.js, Nuxt. Зарплата по результатам собеседования.",1015000
2,middle,backend,ekaterinburg,office,mid_product,higher_general,2025-11-09,"Ищем middle backend в команду. Стек: Java, Spring. Опыт от 2.0+ лет.",200000
6,senior,devops,spb,NA,outsource,not_specified,2025-02-22,"outsource приглашает devops. Требования: Linux, Bash, опыт 6.1+ лет.",265000
6,senior,backend,moscow,office,mid_product,not_specified,2025-03-16,"mid_product приглашает backend. Требования: Java, Spring, опыт 6.5+ лет.",480000
1,junior,frontend,moscow,remote,outsource,not_specified,2026-01-25,"outsource приглашает frontend. Требования: React, TypeScript, опыт 1.4+ лет.",75000
NA,middle,devops,moscow,hybrid,NA,not_specified,2025-05-21,"Ищем middle devops в команду. Стек: CI/CD, GitLab. Опыт от 2.3+ лет.",485000
8,senior,frontend,kazan,office,bigtech,higher_tech,2025-06-24,"Открыта позиция senior frontend. Технологии: Angular, RxJS. Формат: офис.",395000
2,middle,devops,rostov,remote,outsource,not_specified,2026-06-17,"Вакансия devops middle: Linux, Bash. Зарплата по результатам собеседования.",195000
11,lead,qa,moscow,hybrid,mid_product,not_specified,2025-08-15,"Ищем lead qa в команду. Стек: Cypress, JS. Опыт от 11.3+ лет.",345000
NA,senior,backend,spb,office,outsource,not_specified,NA,"outsource приглашает backend. Требования: Java, Spring, опыт 6.6+ лет.",315000
2,middle,qa,moscow,remote,NA,not_specified,2026-05-03,"Ищем middle qa в команду. Стек: Java, JUnit. Опыт от 2.3+ лет.",220000
2,middle,data_science,moscow,office,bigtech,higher_general,2025-02-22,"Открыта позиция middle data_science. Технологии: TensorFlow, Pandas. Формат: офис.",455000
2,middle,frontend,moscow,office,bigtech,not_specified,2026-06-20,"Вакансия frontend middle: React, TypeScript. Зарплата по результатам собеседования.",500000
1,junior,data_science,spb,office,outsource,not_specified,NA,"Требуется data_science (junior). Python, PyTorch, office формат. Санкт-Петербург.",110000
7,senior,devops,moscow,office,enterprise,higher_tech,2025-01-12,"Вакансия devops senior: Linux, Bash. Зарплата по результатам собеседования.",380000
3,middle,qa,ekaterinburg,remote,mid_product,not_specified,2026-05-19,"Открыта позиция middle qa. Технологии: Cypress, JS. Формат: удалёнка.",140000
3,middle,frontend,moscow,office,enterprise,NA,2025-04-14,"Открыта позиция middle frontend. Технологии: React, TypeScript. Формат: офис.",290000
3,middle,frontend,rostov,office,NA,not_specified,NA,"Ищем middle frontend в команду. Стек: Vue.js, Nuxt. Опыт от 3.3+ лет.",200000
6,senior,qa,novosibirsk,remote,bigtech,not_specified,2025-02-18,"bigtech приглашает qa. Требования: Postman, SQL, опыт 5.6+ лет.",175000
8,senior,frontend,kazan,remote,bigtech,not_specified,2025-12-27,"Ищем senior frontend в команду. Стек: Angular, RxJS. Опыт от 7.7+ лет.",400000
2,middle,mobile,moscow,NA,mid_product,NA,2025-10-29,"Вакансия mobile middle: Kotlin, Android. Зарплата по результатам собеседования.",380000
4,middle,backend,moscow,hybrid,bigtech,not_specified,2026-06-07,"bigtech приглашает backend. Требования: Node.js, Express, опыт 3.5+ лет.",525000
NA,junior,mobile,nizhny_novgorod,NA,smb,not_specified,2025-01-19,"Требуется mobile (junior). Flutter, Dart, hybrid формат. Регион.",80000
1,junior,mobile,ekaterinburg,NA,smb,NA,NA,"Открыта позиция junior mobile. Технологии: Swift, iOS. Формат: удалёнка.",65000
8,senior,data_science,moscow,remote,enterprise,not_specified,2025-02-13,"Открыта позиция senior data_science. Технологии: Python, PyTorch. Формат: удалёнка.",505000
2,middle,backend,kazan,office,enterprise,not_specified,2025-11-18,"Открыта позиция middle backend. Технологии: Go, gRPC. Формат: офис.",260000
4,middle,backend,nizhny_novgorod,office,bigtech,not_specified,2025-11-23,"Вакансия backend middle: Java, Spring. Зарплата по результатам собеседования.",295000
NA,senior,frontend,novosibirsk,office,smb,not_specified,2025-04-26,"smb приглашает frontend. Требования: React, TypeScript, опыт 7.2+ лет.",250000
2,middle,qa,ekaterinburg,remote,NA,not_specified,2025-07-12,"Требуется qa (middle). Python, Pytest, Selenium, remote формат. Регион.",115000
2,middle,qa,spb,office,NA,NA,2026-02-07,"outsource приглашает qa. Требования: Python, Pytest, Selenium, опыт 2.3+ лет.",160000
8,senior,frontend,rostov,remote,mid_product,not_specified,2026-01-03,"mid_product приглашает frontend. Требования: Angular, RxJS, опыт 7.6+ лет.",205000
4,middle,qa,moscow,office,outsource,not_specified,NA,"Требуется qa (middle). Cypress, JS, office формат. Москва.",500000
2,middle,devops,novosibirsk,office,NA,not_specified,2025-06-30,"Ищем middle devops в команду. Стек: Terraform, AWS. Опыт от 2.2+ лет.",215000
NA,middle,backend,samara,office,bigtech,NA,2025-11-13,"Вакансия backend middle: Node.js, Express. Зарплата по результатам собеседования.",320000
1,junior,data_science,moscow,remote,enterprise,NA,2026-06-26,"Открыта позиция junior data_science. Технологии: TensorFlow, Pandas. Формат: удалёнка.",155000
8,senior,devops,moscow,hybrid,enterprise,not_specified,2026-05-19,"Открыта позиция senior devops. Технологии: Terraform, AWS. Формат: гибрид.",755000
NA,junior,frontend,moscow,NA,mid_product,not_specified,2026-04-25,"Ищем junior frontend в команду. Стек: Vue.js, Nuxt. Опыт от 0.8+ лет.",90000
7,senior,frontend,nizhny_novgorod,remote,bigtech,not_specified,NA,"Требуется frontend (senior). React, TypeScript, remote формат. Регион.",350000
7,senior,qa,spb,NA,smb,NA,2026-04-22,"Открыта позиция senior qa. Технологии: Python, Pytest, Selenium. Формат: удалёнка.",190000
3,middle,backend,moscow,NA,bigtech,not_specified,2025-07-11,"Ищем middle backend в команду. Стек: Java, Spring. Опыт от 2.6+ лет.",375000
1,junior,frontend,ekaterinburg,office,outsource,not_specified,2025-11-11,"Вакансия frontend junior: React, TypeScript. Зарплата по результатам собеседования.",60000
2,middle,devops,ekaterinburg,office,mid_product,not_specified,2025-08-28,"Вакансия devops middle: Linux, Bash. Зарплата по результатам собеседования.",230000
2,middle,mobile,novosibirsk,remote,outsource,not_specified,2026-06-03,"Вакансия mobile middle: Swift, iOS. Зарплата по результатам собеседования.",220000
8,lead,data_science,ekaterinburg,office,enterprise,higher_general,2025-11-27,"Вакансия data_science lead: Python, PyTorch. Зарплата по результатам собеседования.",550000
5,senior,frontend,spb,office,NA,not_specified,2025-07-16,"Требуется frontend (senior). Angular, RxJS, office формат. Санкт-Петербург.",280000
4,middle,backend,nizhny_novgorod,NA,NA,not_specified,2025-05-08,"outsource приглашает backend. Требования: C#, .NET, опыт 3.5+ лет.",180000
2,middle,backend,spb,office,smb,higher_tech,2026-04-19,"Ищем middle backend в команду. Стек: Node.js, Express. Опыт от 1.9+ лет.",265000
3,middle,backend,moscow,remote,mid_product,not_specified,2025-06-15,"Вакансия backend middle: Python, Django. Зарплата по результатам собеседования.",285000
1,junior,qa,novosibirsk,remote,bigtech,not_specified,2025-11-05,"Вакансия qa junior: Java, JUnit. Зарплата по результатам собеседования.",85000
2,middle,frontend,spb,office,mid_product,not_specified,2025-09-15,"mid_product приглашает frontend. Требования: React, TypeScript, опыт 2.1+ лет.",220000
1,junior,mobile,moscow,NA,NA,not_specified,2025-01-25,"smb приглашает mobile. Требования: Kotlin, Android, опыт 0.7+ лет.",390000
3,middle,qa,rostov,office,mid_product,not_specified,2025-02-15,"Ищем middle qa в команду. Стек: Java, JUnit. Опыт от 3.3+ лет.",155000
7,senior,frontend,moscow,hybrid,outsource,higher_tech,2025-09-05,"Ищем senior frontend в команду. Стек: Next.js, Tailwind. Опыт от 7.4+ лет.",360000
2,middle,frontend,novosibirsk,remote,enterprise,not_specified,2026-03-12,"Ищем middle frontend в команду. Стек: Angular, RxJS. Опыт от 1.6+ лет.",245000
3,middle,backend,moscow,remote,bigtech,not_specified,2025-10-31,"Требуется backend (middle). Python, Django, remote формат. Москва.",1325000
7,senior,data_science,novosibirsk,remote,NA,higher_general,2026-05-09,"Ищем senior data_science в команду. Стек: TensorFlow, Pandas. Опыт от 7.0+ лет.",300000
3,middle,mobile,rostov,remote,enterprise,not_specified,2026-03-21,"Вакансия mobile middle: Swift, iOS. Зарплата по результатам собеседования.",275000
6,senior,qa,samara,remote,NA,higher_general,2025-03-04,"Вакансия qa senior: Java, JUnit. Зарплата по результатам собеседования.",215000
2,middle,qa,nizhny_novgorod,NA,mid_product,not_specified,2025-05-01,"Открыта позиция middle qa. Технологии: Python, Pytest, Selenium. Формат: офис.",160000
1,junior,backend,moscow,NA,mid_product,not_specified,NA,"mid_product приглашает backend. Требования: Java, Spring, опыт 1.2+ лет.",125000
4,middle,mobile,samara,office,NA,not_specified,2026-01-24,"Требуется mobile (middle). React Native, office формат. Регион.",280000
4,middle,frontend,moscow,office,NA,not_specified,2025-02-08,"Ищем middle frontend в команду. Стек: Vue.js, Nuxt. Опыт от 3.6+ лет.",340000
3,middle,data_science,samara,NA,outsource,not_specified,NA,"Открыта позиция middle data_science. Технологии: SQL, Spark. Формат: офис.",180000
0,intern,backend,samara,NA,outsource,not_specified,2025-08-23,"Вакансия backend intern: Python, Django. Зарплата по результатам собеседования.",40000
2,middle,backend,moscow,NA,enterprise,NA,2025-05-27,"Вакансия backend middle: Node.js, Express. Зарплата по результатам собеседования.",335000
2,middle,qa,spb,NA,mid_product,not_specified,2025-12-20,"Открыта позиция middle qa. Технологии: Postman, SQL. Формат: удалёнка.",155000
2,middle,data_science,kazan,office,bigtech,not_specified,2025-03-12,"Открыта позиция middle data_science. Технологии: Python, PyTorch. Формат: офис.",275000
NA,middle,devops,samara,remote,NA,not_specified,2025-09-08,"Вакансия devops middle: K8s, Docker, Ansible. Зарплата по результатам собеседования.",150000
3,middle,qa,kazan,remote,enterprise,higher_tech,NA,"Вакансия qa middle: Python, Pytest, Selenium. Зарплата по результатам собеседования.",155000
3,middle,backend,rostov,office,NA,not_specified,2025-05-19,"Ищем middle backend в команду. Стек: C#, .NET. Опыт от 2.7+ лет.",235000
6,senior,data_science,moscow,office,bigtech,not_specified,2025-11-29,"bigtech приглашает data_science. Требования: Python, PyTorch, опыт 6.2+ лет.",1915000
2,middle,mobile,moscow,office,enterprise,not_specified,2026-05-22,"enterprise приглашает mobile. Требования: React Native, опыт 1.7+ лет.",440000
2,middle,backend,nizhny_novgorod,remote,NA,not_specified,2026-05-19,"enterprise приглашает backend. Требования: Java, Spring, опыт 2.4+ лет.",475000
2,middle,devops,samara,office,outsource,not_specified,2026-04-30,"outsource приглашает devops. Требования: CI/CD, GitLab, опыт 1.9+ лет.",190000
1,junior,devops,moscow,hybrid,outsource,not_specified,2026-05-05,"Открыта позиция junior devops. Технологии: K8s, Docker, Ansible. Формат: гибрид.",175000
1,junior,qa,spb,office,outsource,not_specified,2025-02-09,"Вакансия qa junior: Python, Pytest, Selenium. Зарплата по результатам собеседования.",80000
4,senior,data_science,ekaterinburg,office,outsource,not_specified,2025-11-14,Ищем senior data_science в команду. Стек: scikit-learn. Опыт от 4.5+ лет.,185000
2,middle,backend,moscow,office,smb,not_specified,2025-06-05,"Требуется backend (middle). C#, .NET, office формат. Москва.",205000
NA,middle,backend,rostov,remote,bigtech,NA,NA,"Ищем middle backend в команду. Стек: Node.js, Express. Опыт от 2.7+ лет.",305000
4,middle,frontend,spb,remote,outsource,not_specified,2025-08-05,"Вакансия frontend middle: Next.js, Tailwind. Зарплата по результатам собеседования.",220000
7,senior,frontend,spb,remote,mid_product,higher_tech,NA,"Открыта позиция senior frontend. Технологии: React, TypeScript. Формат: удалёнка.",505000
0,intern,backend,moscow,NA,outsource,not_specified,2025-06-15,"Ищем intern backend в команду. Стек: Python, Django. Опыт от 0.3+ лет.",55000
1,junior,devops,kazan,remote,mid_product,not_specified,2026-06-25,"Вакансия devops junior: CI/CD, GitLab. Зарплата по результатам собеседования.",125000
4,middle,frontend,moscow,hybrid,enterprise,not_specified,2026-06-24,"Вакансия frontend middle: React, TypeScript. Зарплата по результатам собеседования.",410000
3,middle,frontend,nizhny_novgorod,NA,outsource,not_specified,NA,"Открыта позиция middle frontend. Технологии: Angular, RxJS. Формат: удалёнка.",180000
1,junior,qa,novosibirsk,office,smb,NA,2025-09-17,"smb приглашает qa. Требования: Python, Pytest, Selenium, опыт 1.2+ лет.",55000
2,middle,backend,spb,remote,smb,higher_tech,2025-10-23,"Вакансия backend middle: Node.js, Express. Зарплата по результатам собеседования.",205000
4,senior,qa,nizhny_novgorod,NA,mid_product,not_specified,2025-05-30,"Открыта позиция senior qa. Технологии: Cypress, JS. Формат: удалёнка.",130000
1,junior,frontend,nizhny_novgorod,remote,outsource,not_specified,2025-03-29,"Ищем junior frontend в команду. Стек: Next.js, Tailwind. Опыт от 0.7+ лет.",60000
1,junior,mobile,samara,NA,mid_product,NA,2026-01-01,"mid_product приглашает mobile. Требования: React Native, опыт 1.3+ лет.",90000
11,lead,backend,samara,office,outsource,not_specified,2025-12-24,"outsource приглашает backend. Требования: Python, Django, опыт 10.7+ лет.",345000
2,middle,frontend,kazan,office,enterprise,NA,2025-04-20,"Открыта позиция middle frontend. Технологии: Next.js, Tailwind. Формат: офис.",185000
1,junior,backend,moscow,office,enterprise,not_specified,2025-06-15,"Вакансия backend junior: Python, Django. Зарплата по результатам собеседования.",140000
NA,senior,qa,moscow,office,NA,not_specified,2025-04-22,"Ищем senior qa в команду. Стек: Cypress, JS. Опыт от 6.5+ лет.",265000
9,lead,frontend,spb,office,NA,NA,2026-02-03,"Открыта позиция lead frontend. Технологии: Vue.js, Nuxt. Формат: офис.",375000
6,senior,mobile,moscow,remote,enterprise,not_specified,2026-03-04,"Вакансия mobile senior: Swift, iOS. Зарплата по результатам собеседования.",365000
1,junior,qa,kazan,office,bigtech,not_specified,2025-07-07,"bigtech приглашает qa. Требования: Java, JUnit, опыт 1.0+ лет.",90000
5,senior,mobile,samara,remote,enterprise,higher_general,2026-03-27,Вакансия mobile senior: React Native. Зарплата по результатам собеседования.,465000
5,senior,backend,moscow,remote,smb,not_specified,2026-01-22,"smb приглашает backend. Требования: Go, gRPC, опыт 4.6+ лет.",475000
5,senior,qa,samara,office,enterprise,NA,NA,"enterprise приглашает qa. Требования: Postman, SQL, опыт 4.9+ лет.",175000
6,senior,backend,ekaterinburg,office,mid_product,not_specified,2025-02-27,"Вакансия backend senior: Python, Django. Зарплата по результатам собеседования.",305000
3,middle,backend,moscow,office,NA,NA,2026-04-18,"Требуется backend (middle). C#, .NET, office формат. Москва.",345000
3,middle,devops,ekaterinburg,remote,NA,not_specified,2026-04-12,"Ищем middle devops в команду. Стек: Linux, Bash. Опыт от 2.7+ лет.",190000
NA,senior,frontend,moscow,hybrid,mid_product,not_specified,2026-01-02,"mid_product приглашает frontend. Требования: React, TypeScript, опыт 7.7+ лет.",480000
3,middle,backend,moscow,office,bigtech,not_specified,2025-11-17,"Требуется backend (middle). Go, gRPC, office формат. Москва.",385000
NA,senior,frontend,moscow,remote,outsource,not_specified,NA,"Требуется frontend (senior). Next.js, Tailwind, remote формат. Москва.",295000
5,senior,frontend,spb,NA,bigtech,not_specified,2025-04-14,"bigtech приглашает frontend. Требования: Angular, RxJS, опыт 5.2+ лет.",355000
3,middle,qa,moscow,NA,enterprise,not_specified,2025-08-06,"Вакансия qa middle: Python, Pytest, Selenium. Зарплата по результатам собеседования.",190000
4,middle,frontend,rostov,office,mid_product,not_specified,2025-07-29,"Ищем middle frontend в команду. Стек: Next.js, Tailwind. Опыт от 3.5+ лет.",185000
1,junior,mobile,moscow,office,smb,NA,2025-10-14,Открыта позиция junior mobile. Технологии: React Native. Формат: офис.,105000
3,middle,frontend,moscow,remote,mid_product,not_specified,2025-01-05,"Требуется frontend (middle). Angular, RxJS, remote формат. Москва.",305000
NA,senior,mobile,spb,remote,outsource,not_specified,2026-03-10,"outsource приглашает mobile. Требования: React Native, опыт 7.4+ лет.",360000
2,middle,mobile,samara,office,enterprise,higher_general,2026-04-14,"Открыта позиция middle mobile. Технологии: Swift, iOS. Формат: офис.",345000
2,middle,frontend,novosibirsk,office,enterprise,not_specified,2025-03-11,"Вакансия frontend middle: React, TypeScript. Зарплата по результатам собеседования.",215000
7,senior,frontend,ekaterinburg,office,smb,not_specified,2025-12-11,"Ищем senior frontend в команду. Стек: Next.js, Tailwind. Опыт от 6.6+ лет.",215000
2,middle,backend,kazan,office,bigtech,higher_tech,2025-07-16,"Вакансия backend middle: Java, Spring. Зарплата по результатам собеседования.",325000
5,senior,qa,moscow,NA,mid_product,not_specified,2026-03-21,"mid_product приглашает qa. Требования: Python, Pytest, Selenium, опыт 4.7+ лет.",185000
NA,middle,mobile,nizhny_novgorod,office,mid_product,not_specified,2026-03-15,"Открыта позиция middle mobile. Технологии: Swift, iOS. Формат: офис.",290000
3,middle,qa,rostov,remote,enterprise,not_specified,2026-06-13,"Требуется qa (middle). Java, JUnit, remote формат. Регион.",130000
5,senior,backend,moscow,office,smb,not_specified,NA,"Открыта позиция senior backend. Технологии: Go, gRPC. Формат: офис.",310000
NA,middle,frontend,ekaterinburg,remote,bigtech,not_specified,2026-06-16,"Вакансия frontend middle: Vue.js, Nuxt. Зарплата по результатам собеседования.",245000
9,lead,qa,nizhny_novgorod,office,outsource,higher_tech,2025-01-19,"Вакансия qa lead: Postman, SQL. Зарплата по результатам собеседования.",170000
2,middle,backend,nizhny_novgorod,remote,NA,not_specified,2025-11-23,"Требуется backend (middle). Go, gRPC, remote формат. Регион.",220000
NA,middle,backend,spb,office,mid_product,not_specified,NA,"mid_product приглашает backend. Требования: Node.js, Express, опыт 2.5+ лет.",225000
1,junior,frontend,ekaterinburg,office,mid_product,not_specified,2025-11-09,"Вакансия frontend junior: Next.js, Tailwind. Зарплата по результатам собеседования.",75000
4,middle,backend,moscow,office,NA,not_specified,2026-03-29,"Открыта позиция middle backend. Технологии: Python, Django. Формат: офис.",300000
3,middle,frontend,novosibirsk,office,enterprise,NA,2026-01-11,"Вакансия frontend middle: Angular, RxJS. Зарплата по результатам собеседования.",240000
7,senior,data_science,novosibirsk,office,enterprise,not_specified,NA,"Вакансия data_science senior: TensorFlow, Pandas. Зарплата по результатам собеседования.",680000
3,middle,mobile,rostov,office,enterprise,not_specified,2025-04-23,"Ищем middle mobile в команду. Стек: Flutter, Dart. Опыт от 3.0+ лет.",350000
1,junior,backend,novosibirsk,remote,mid_product,not_specified,NA,"Требуется backend (junior). Java, Spring, remote формат. Регион.",95000
NA,junior,data_science,spb,remote,bigtech,higher_tech,2026-06-07,"Открыта позиция junior data_science. Технологии: Python, PyTorch. Формат: удалёнка.",145000
4,middle,mobile,moscow,office,enterprise,not_specified,2025-11-27,Ищем middle mobile в команду. Стек: React Native. Опыт от 3.8+ лет.,400000
5,senior,backend,rostov,office,smb,not_specified,2026-04-19,"Вакансия backend senior: Go, gRPC. Зарплата по результатам собеседования.",235000
3,middle,devops,kazan,office,enterprise,not_specified,2025-01-17,"Открыта позиция middle devops. Технологии: CI/CD, GitLab. Формат: офис.",285000
3,middle,frontend,moscow,office,bigtech,NA,2025-03-12,"bigtech приглашает frontend. Требования: React, TypeScript, опыт 3.1+ лет.",330000
3,middle,frontend,moscow,office,enterprise,not_specified,2025-03-05,"Вакансия frontend middle: React, TypeScript. Зарплата по результатам собеседования.",280000
2,middle,mobile,ekaterinburg,NA,enterprise,NA,2026-04-16,"Открыта позиция middle mobile. Технологии: Swift, iOS. Формат: офис.",310000
9,lead,backend,moscow,office,enterprise,not_specified,NA,"enterprise приглашает backend. Требования: Java, Spring, опыт 8.8+ лет.",820000
7,senior,qa,spb,office,enterprise,not_specified,2025-05-15,"Вакансия qa senior: Cypress, JS. Зарплата по результатам собеседования.",220000
NA,middle,backend,nizhny_novgorod,hybrid,mid_product,not_specified,2025-07-06,"Требуется backend (middle). Node.js, Express, hybrid формат. Регион.",230000
3,middle,frontend,rostov,NA,outsource,NA,2025-01-04,"Требуется frontend (middle). Angular, RxJS, remote формат. Регион.",165000
NA,middle,frontend,spb,remote,mid_product,higher_general,2026-01-21,"mid_product приглашает frontend. Требования: Vue.js, Nuxt, опыт 3.5+ лет.",275000
1,junior,backend,novosibirsk,office,mid_product,not_specified,2025-11-12,"mid_product приглашает backend. Требования: Node.js, Express, опыт 1.2+ лет.",105000
2,middle,devops,rostov,remote,enterprise,not_specified,2026-02-25,"Открыта позиция middle devops. Технологии: Terraform, AWS. Формат: удалёнка.",275000
NA,senior,qa,moscow,office,outsource,not_specified,2025-07-20,"Ищем senior qa в команду. Стек: Java, JUnit. Опыт от 7.7+ лет.",195000
0,intern,backend,samara,NA,mid_product,not_specified,NA,"Открыта позиция intern backend. Технологии: Python, Django. Формат: офис.",40000
4,middle,data_science,moscow,office,bigtech,not_specified,NA,"bigtech приглашает data_science. Требования: scikit-learn, опыт 3.6+ лет.",385000
7,senior,mobile,rostov,office,smb,not_specified,2025-05-28,"Вакансия mobile senior: Swift, iOS. Зарплата по результатам собеседования.",265000
6,senior,backend,moscow,office,smb,NA,2025-12-03,"Открыта позиция senior backend. Технологии: C#, .NET. Формат: офис.",405000
NA,junior,frontend,moscow,remote,outsource,not_specified,NA,"Вакансия frontend junior: Angular, RxJS. Зарплата по результатам собеседования.",285000
4,senior,backend,moscow,office,enterprise,not_specified,2026-05-23,"Ищем senior backend в команду. Стек: Go, gRPC. Опыт от 4.4+ лет.",700000
